User,AFINN_score,FPP_ratio,hrank_score,havg_score,hstdv_score,twit_score,goog_score,nyt_score,lyric_score,parse_tree_height,verb_phrase_length,FPP_count,count_sentence,count_def_articles
user-0,-1.1818181818181819,0.1801801801801802,5461.290322580645,5.288064516129032,1.1710064516129033,391.60504201680675,466.86206896551727,544.1016949152543,524.5546218487395,4.7272727272727275,3,2,10,2
user-1,0.028708133971291867,0.32384142936906757,5118.062680810029,5.4119093539054965,1.1650121022179363,411.08266932270914,438.07379518072287,532.4166241713411,403.85455460493205,5.061728395061729,3,58,138,46
user-2,0.525,0.7216494845360825,5148.436403508772,5.409605263157895,1.1531440789473684,365.233995584989,432.3758700696056,477.86046511627904,370.60090702947844,6.173913043478261,3,21,24,11
user-3,0.16049382716049382,1.9113573407202216,4903.928066037736,5.472783018867925,1.178218396226415,384.45588235294116,460.6936274509804,541.6662515566625,401.8076923076923,5.225806451612903,3,69,54,16
user-4,0.6296296296296297,1.0596026490066226,4624.025641025641,5.542769230769231,1.175865641025641,430.58288770053474,723.1489361702128,661.4606741573034,435.17391304347825,4.315789473684211,2,16,19,1
user-5,0.2591240875912409,0.5791901588928755,5018.868085106383,5.440591016548463,1.1764375886524823,320.77414704469004,525.2140333165069,526.8674884437596,385.5560928433269,5.310126582278481,4,113,169,33
user-6,0.8455284552845529,0.30881017257039056,4825.6485981308415,5.507261682242991,1.1889440186915887,342.8901623686724,507.26231155778896,483.1459403905447,368.13288718929255,4.685393258426966,4,34,102,17
user-7,0.4720812182741117,0.4804612427930814,5014.9011689691815,5.457582359192348,1.1761193411264612,345.76508620689657,434.49231644849175,460.33066361556064,359.3171397379913,5.440944881889764,3,75,131,32
user-8,0.6230769230769231,1.2163892445582587,5033.574297188755,5.47790017211704,1.1430259896729775,510.2144212523719,600.6917647058824,656.4925834363412,526.0640862944163,7.529411764705882,3,95,62,76
user-9,0.5,7.2727272727272725,5456.957983193277,5.326218487394958,1.1376453781512605,373.10169491525426,591.0183486238532,532.0275229357799,378.6216216216216,5.444444444444445,2,8,11,3
user-10,-0.8571428571428571,0.7407407407407408,5355.026666666667,5.246666666666667,1.189364,251.87671232876713,400.4117647058824,608.4583333333334,332.875,3.3636363636363638,2,6,10,0
user-11,0.8333333333333334,0.4059040590405904,4668.306603773585,5.556650943396226,1.2163014150943396,419.5769230769231,495.17676767676767,508.7886597938144,439.615763546798,3.6,2,11,34,2
user-12,0.0,2.2535211267605635,4430.442105263158,5.594526315789474,1.1608473684210527,272.05263157894734,323.5869565217391,294.0,244.55913978494624,4.875,2,16,10,1
user-13,-0.05913978494623656,0.42578356002365464,4878.944656488549,5.452315521628499,1.1894008905852418,426.8075117370892,524.6714383094751,584.3818433818434,443.32371134020616,4.327044025157233,4,72,176,19
user-14,0.6282051282051282,0.6417112299465241,4627.926948051948,5.555357142857143,1.1882355519480519,346.9382303839733,428.38513513513516,473.87285223367695,368.07563025210084,4.766666666666667,4,36,60,17
user-15,0.5795454545454546,0.631424375917768,4871.007786429366,5.488921023359288,1.1687043381535038,399.52247191011236,457.8087367178276,429.481884057971,372.1054502369668,5.160714285714286,3,43,48,23
user-16,-0.05454545454545454,1.5231788079470199,5487.394366197183,5.32193661971831,1.14076161971831,488.2007299270073,525.3970037453183,580.5037735849056,542.7274436090225,5.914285714285715,3,23,37,20
user-17,-0.75,5.454545454545454,4794.783333333334,5.5015,1.1802366666666666,372.89473684210526,830.7017543859649,740.6,392.51785714285717,5.25,3,6,5,1
user-18,-0.8809523809523809,2.9078014184397163,5565.092391304348,5.23820652173913,1.1887244565217392,355.2598870056497,543.485380116959,523.3768545994066,451.6619718309859,4.72,3,41,17,2
user-19,-0.5240641711229946,1.8402282453637662,5366.562729658793,5.329753280839895,1.197160997375328,403.08904479222883,489.10574712643677,467.522170361727,442.7178217821782,6.233766233766234,3,129,107,40
user-20,0.18518518518518517,0.19933554817275748,4732.737827715356,5.535805243445693,1.1478561797752809,382.4597701149425,377.7670682730924,518.8682170542636,391.31496062992125,5.352941176470588,3,6,17,6
user-21,0.017543859649122806,1.593625498007968,5218.04189435337,5.377595628415301,1.1890442622950819,438.18923933209646,538.4015904572565,526.4657258064516,445.0,5.275,3,40,43,9
user-22,0.3838383838383838,0.380499405469679,5012.160289555326,5.454033092037228,1.172520682523268,391.1194968553459,454.85840707964604,473.63444444444445,395.40681576144834,4.970588235294118,3,32,68,26
user-23,2.0,0.0,4038.090909090909,5.681818181818182,1.077490909090909,364.1818181818182,328.0,283.45454545454544,227.63636363636363,3.5,2,0,1,0
user-24,-0.017391304347826087,13.456790123456791,5064.896865520728,5.421658240647118,1.1702945399393327,443.0927835051546,571.8651804670912,531.6083150984683,434.85445026178013,6.177777777777778,7,109,46,25
user-25,0.018518518518518517,0.9278350515463917,5114.48590021692,5.387548806941432,1.181597180043384,485.4625550660793,604.2980769230769,441.4504950495049,418.08665105386416,4.705882352941177,3,27,36,12
user-26,0.3601036269430052,0.25210084033613445,5045.43875502008,5.427754350736278,1.1849601572958501,366.9213540776201,456.0384201077199,495.0232262747233,371.61812804453723,5.088744588744588,4,147,556,97
user-27,0.5,4.761904761904762,5200.75,5.419,1.167823,328.5408163265306,485.0842105263158,533.4631578947368,342.17021276595744,5.571428571428571,3,10,6,4
user-28,-0.21809744779582366,0.4924800943674432,5210.398763523956,5.369858688452197,1.1723193420181055,481.4323455088445,548.1824747231584,509.35614733698355,454.8233901515151,5.205970149253731,4,167,313,117
user-29,0.7924528301886793,0.13850415512465372,5182.1138613861385,5.4397772277227725,1.1330655940594059,348.58397932816536,479.36503856041134,476.47229551451187,374.6871794871795,5.913043478260869,3,5,24,15
user-30,-0.3254437869822485,2.2533495736906213,5114.443161094225,5.401848024316109,1.185821641337386,367.471615720524,500.9615635179153,500.2378737541528,360.0278304870335,4.6875,3,185,155,35
user-31,0.855072463768116,0.4825291181364393,4755.452980132451,5.545549668874172,1.1775429139072848,335.7204301075269,520.862937062937,465.8297258297258,328.71944444444443,5.3076923076923075,3,29,46,13
user-32,0.01694915254237288,0.6413301662707839,5173.223706176962,5.395325542570951,1.155539732888147,387.8843537414966,428.2719298245614,461.30511463844795,387.49913344887347,5.571428571428571,3,27,36,9
user-33,0.2971887550200803,1.0668467251856855,5081.0399141630905,5.422274678111588,1.1700915450643776,345.96475195822455,485.72477064220186,454.5852858481724,405.7003112494442,5.453900709219858,3,158,164,30
user-34,-0.65625,5.882352941176471,5226.571942446043,5.32,1.1558888489208634,308.8205128205128,488.94505494505495,492.4600760456274,334.36802973977694,7.545454545454546,3,30,11,10
user-35,-0.5238095238095238,0.3980099502487562,5262.131782945737,5.38031007751938,1.1619375968992247,344.2165354330709,447.7427385892116,435.89539748953973,425.98790322580646,4.666666666666667,3,8,16,6
user-36,-0.4649122807017544,3.139293139293139,5259.801413881748,5.361773778920308,1.1625896529562982,419.75624178712224,476.68758716875874,484.13875262789065,421.8173794976239,5.633333333333334,3,151,87,33
user-37,-0.03125,0.4199475065616798,5320.491349480969,5.324844290657439,1.1746804498269896,475.49283154121866,531.3699633699633,504.3893129770992,432.9016697588126,5.7272727272727275,3,16,37,19
user-38,-0.5,7.213114754098361,5039.166666666667,5.399666666666667,1.218550238095238,377.3357487922705,592.5974358974358,552.668407310705,353.25672371638143,4.914285714285715,3,44,37,11
user-39,1.0638297872340425,0.5131761442441054,4551.002614379085,5.628222222222222,1.192962614379085,338.73809523809524,531.465541490858,523.923186344239,380.6392572944297,4.3428571428571425,4,37,77,5
user-40,0.28,0.5235602094240838,4929.403587443946,5.4311659192825115,1.1684955156950674,340.1834862385321,491.84976525821594,490.1643192488263,349.12264150943395,6.363636363636363,3,10,10,2
user-41,0.0,190.0,5481.583333333333,5.260757575757576,1.1629522727272728,141.3181818181818,298.06722689075633,245.34188034188034,166.6076923076923,4.5,2,19,7,1
user-42,0.25925925925925924,2.3529411764705883,5422.218390804598,5.298218390804598,1.1483908045977012,350.3941176470588,611.7469135802469,511.2857142857143,354.0352941176471,5.0,3,12,12,2
user-43,-0.3157894736842105,4.308390022675737,5429.9683401175935,5.305549525101764,1.1606979647218454,364.05583992554676,517.3874878758487,515.1727047146402,366.6854460093897,7.886792452830188,4,190,36,68
user-44,0.6966292134831461,2.3367697594501715,4986.2847411444145,5.495599455040872,1.1596628065395096,369.4106145251397,478.6408759124088,514.0342261904761,387.69142857142856,4.753846153846154,3,68,81,20
user-45,0.8297872340425532,0.7045009784735812,4944.652495378928,5.485526802218114,1.1807031423290204,317.8957169459963,500.11451942740285,481.9325153374233,376.337786259542,4.404255319148936,3,36,49,12
user-46,0.2876712328767123,4.503311258278146,4927.6369529983795,5.487309562398703,1.1920188006482981,349.1525704809287,447.93333333333334,391.85283687943263,393.50169491525423,4.54,3,68,50,8
user-47,0.12,3.6363636363636367,4977.972350230415,5.459032258064516,1.1579336405529954,406.7203791469194,536.7518610421836,495.9,437.03614457831327,5.096774193548387,2,44,32,11
user-48,-0.5096153846153846,1.5081206496519721,5346.624190064795,5.33292656587473,1.1767051835853133,369.18722466960355,475.34701055099646,476.2833530106257,371.8961625282167,4.955882352941177,3,65,72,15
user-49,0.1016548463356974,0.32637459570714494,5117.567788223651,5.418547748639288,1.1750445818901534,501.57879803972145,552.8036809815951,579.8854589764419,537.2758988015979,5.096885813148789,4,111,335,71
user-50,0.75,0.989010989010989,4802.783333333334,5.523,1.179273888888889,327.9776536312849,550.3352941176471,518.0598802395209,369.78285714285715,4.043478260869565,3,9,19,2
